거래일,품목 및 품명,등급,평균가,전일평균,등락,거래단위,최저가,최고가,전일대비(%),전7일평균,전7일대비(%),시장구분,구분
20210617,깻잎,하,7424,0,7424,100 속,2000,9000,0,7168,7424,가락시장,co
20210623,포도 샤인머스켓,특,64404,0,64404,2 kg상자,63000,65000,0,63381,64404,가락시장,co
20210623,포도 샤인머스켓,상,57085,0,57085,2 kg상자,52000,63000,0,55154,57085,가락시장,co
20210623,포도 샤인머스켓,보통,45754,0,45754,2 kg상자,42000,52000,0,42807,45754,가락시장,co
20210623,포도 샤인머스켓,하,34522,0,34522,2 kg상자,16000,42000,0,28724,34522,가락시장,co
20210604,메론 머스크,특,22000,0,22000,5 kg상자,22000,22000,0,26340,22000,가락시장,co
20210604,메론 머스크,상,20974,0,20974,5 kg상자,20000,22000,0,22642,20974,가락시장,co
20210604,메론 머스크,보통,18171,0,18171,5 kg상자,14000,20000,0,18361,18171,가락시장,co
20210604,메론 머스크,하,13219,0,13219,5 kg상자,9000,14000,0,13200,13219,가락시장,co
20210604,메론 머스크,특,43687,0,43687,8 kg상자,40000,50000,0,43007,43687,가락시장,co
20210604,메론 머스크,상,28363,0,28363,8 kg상자,25000,40000,0,29184,28363,가락시장,co
20210604,메론 머스크,보통,22039,0,22039,8 kg상자,18000,25000,0,23261,22039,가락시장,co
20210604,메론 머스크,하,13919,0,13919,8 kg상자,4000,18000,0,15546,13919,가락시장,co
20210604,당근,특,23182,0,23182,20 kg상자,23000,23500,0,23508,23182,가락시장,co
20210604,당근,상,21857,0,21857,20 kg상자,20500,23000,0,21962,21857,가락시장,co
20210604,당근,보통,19664,0,19664,20 kg상자,18500,20500,0,19804,19664,가락시장,co
20210604,당근,하,16543,0,16543,20 kg상자,14000,18500,0,15717,16543,가락시장,co
20210617,메론 머스크,특,24000,0,24000,5 kg상자,24000,24000,0,23333,24000,가락시장,co
20210617,메론 머스크,상,20231,0,20231,5 kg상자,17000,24000,0,21158,20231,가락시장,co
20210617,메론 머스크,보통,13857,0,13857,5 kg상자,12000,17000,0,14841,13857,가락시장,co
20210617,메론 머스크,하,8991,0,8991,5 kg상자,5000,12000,0,10972,8991,가락시장,co
20210617,메론 머스크,특,43626,0,43626,8 kg상자,40000,50000,0,37715,43626,가락시장,co
20210617,메론 머스크,상,27683,0,27683,8 kg상자,26000,40000,0,29391,27683,가락시장,co
20210617,메론 머스크,보통,22893,0,22893,8 kg상자,19000,26000,0,23565,22893,가락시장,co
20210617,메론 머스크,하,14779,0,14779,8 kg상자,8000,19000,0,15425,14779,가락시장,co
20210617,당근,특,22269,0,22269,20 kg상자,22000,23000,0,23137,22269,가락시장,co
20210617,당근,상,20515,0,20515,20 kg상자,18000,22000,0,21458,20515,가락시장,co
20210617,당근,보통,17173,0,17173,20 kg상자,15000,18000,0,18414,17173,가락시장,co
20210617,당근,하,12125,0,12125,20 kg상자,8000,15000,0,13892,12125,가락시장,co
20210528,깻잎,상,21902,0,21902,2 kg상자,21000,22500,0,18764,21902,양곡시장,co
20210528,깻잎,보통,20517,0,20517,2 kg상자,20000,21000,0,15247,20517,양곡시장,co
20210528,깻잎,하,16855,0,16855,2 kg상자,9600,20000,0,12367,16855,양곡시장,co
20210528,깻잎,상,18356,0,18356,3 kg상자,16500,20000,0,15296,18356,양곡시장,co
20210528,깻잎,보통,13656,0,13656,3 kg상자,12500,16500,0,13152,13656,양곡시장,co
20210528,깻잎,하,11372,0,11372,3 kg상자,7800,12500,0,10785,11372,양곡시장,co
20210610,깻잎,상,14157,0,14157,2 kg상자,10500,23200,0,19289,14157,양곡시장,co
20210610,깻잎,보통,9367,0,9367,2 kg상자,9000,10500,0,14289,9367,양곡시장,co
20210610,깻잎,하,8667,0,8667,2 kg상자,7000,9000,0,10787,8667,양곡시장,co
20210610,깻잎,상,12155,0,12155,3 kg상자,11800,12700,0,16394,12155,양곡시장,co
20210610,깻잎,보통,9665,0,9665,3 kg상자,8500,11800,0,13738,9665,양곡시장,co
20210610,깻잎,하,7352,0,7352,3 kg상자,3000,8500,0,10213,7352,양곡시장,co
20210623,활 방어(자연),대,6462,0,6462,1 kg,5800,7000,0,7294,6462,가락시장,co
20210623,활 방어(자연),중,5121,0,5121,1 kg,5000,5800,0,5124,5121,가락시장,co
20210623,활 방어(자연),소,4953,0,4953,1 kg,4500,5000,0,4164,4953,가락시장,co
20210705,메론 머스크,특,24281,0,24281,5 kg상자,24000,25000,0,24968,24281,가락시장,co
20210705,메론 머스크,상,16366,0,16366,5 kg상자,9000,24000,0,17803,16366,가락시장,co
20210705,메론 머스크,보통,8064,0,8064,5 kg상자,7000,9000,0,9628,8064,가락시장,co
20210528,메론 머스크,특,22000,0,22000,8 kg상자,22000,22000,0,18917,22000,양곡시장,co
